constituencyId,constituencyName,prefix,firstName,lastName,partyName,partyAbbreviation,isHonourable,isDoctor,isCounsel,profileUrl,imagePath,imageDescription
177,Richmond-Bridgeport,Ms.,Teresa,Wat,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Wat-Teresa,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Wat-Teresa.jpg,MLA Teresa Wat
178,Salmon Arm-Shuswap,Mr.,David,Williams,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Williams-David,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Williams-David.jpg,MLA David L. Williams
179,Surrey City Centre,Ms.,Amna,Shah,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Shah-Amna,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Shah-Amna.jpg,MLA Amna Shaw
180,Surrey North,Mr.,Mandeep,Dhaliwal,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Dhaliwal-Mandeep,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Dhaliwal-Mandeep.jpg,MLA Mandeep Dhaliwal
181,Surrey-Serpentine River,Ms.,Linda,Hepner,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Hepner-Linda,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Hepner-Linda.jpg,MLA Linda Hepner
182,Vancouver-Renfrew,Mr.,Adrian,Dix,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Dix-Adrian,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Dix-Adrian.jpg,MLA Adrian Dix
183,Vancouver-South Granville,Ms.,Brenda,Bailey,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Bailey-Brenda,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Bailey-Brenda.jpg,MLA Brenda Bailey
184,Vancouver-Strathcona,Ms,Amshen - Joan,Phillip,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Phillip-Amshen%20-%20Joan,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Phillip-Joan.jpg,MLA Joan Phillip
185,Vancouver-Yaletown,Mr.,Terry,Yung,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Yung-Terry,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Yung-Terry.jpg,MLA Terry Yung
186,Vernon-Lumby,Ms.,Harwinder,Sandhu,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Sandhu-Harwinder,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Sandhu-Harwinder.jpg,MLA Harwinder Sandhu
187,West Kelowna-Peachland,Mr.,Macklin,McCall,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/McCall-Macklin,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/McCall.PNG,MLA Macklin McCall
